country,regime,core,extended,momentum,core_to_extended_improvement_pct,core_to_momentum_improvement_pct,momentum_to_extended_improvement_pct
US,normal,0.278405249974198,0.2623922458790325,0.2760748911734673,5.751688984546659,0.8370383823389498,4.956135357430071
US,911,0.2301095487952333,0.2288761538577578,0.2229687939337022,0.5360033705394127,3.103197976319276,-2.6494110766962806
US,gfc,0.2392899468851587,0.2364715568082658,0.2352183326145532,1.1778138252692785,1.7015400452905707,-0.5327918873424837
US,covid,0.3404581193199286,0.3042684146188367,0.3204760317012985,10.629708221787016,5.869176408112888,5.057357018689068
KR,normal,0.1899944421853816,0.186226326848355,0.1854476704111707,1.9832766125600598,2.393107778265714,-0.4198793306262001
KR,911,0.2549416793262007,0.2553318533340662,0.2327255880499858,-0.15304441741213878,8.714185665886813,-9.713699930247868
KR,gfc,0.211176141644796,0.2109446708035667,0.2158635024096339,0.10961031839413947,-2.2196450452826992,2.27867682640161
KR,covid,0.2505237655306019,0.2500379235888051,0.2507887906943573,0.1939304803150293,-0.10578843216493133,0.2994021796082854
JP,normal,0.243981142185165,0.237167423439062,0.2351574439234755,2.792723521612118,3.616549288466283,-0.8547377799533188
JP,911,0.1556117140951871,0.1582786960725246,0.1564555423093004,-1.7138696741725488,-0.5422652266378448,-1.165285509426037
JP,gfc,0.2052639106695704,0.2046340521255253,0.2029469254566169,0.3068530371415514,1.1287835281884095,-0.8313142291327955
JP,covid,0.280656194698942,0.2833852062441899,0.2726201281408961,-0.9723681845595099,2.8633134453583433,-3.9487466228943195
