country,regime,core_before,extended_before,momentum_before,core_after,extended_after,momentum_after,locked_protocol,core_model_before,extended_model_before,momentum_model_before,core_protocol_before,extended_protocol_before,momentum_protocol_before,core_model_after,extended_model_after,momentum_model_after,core_to_ext_before_%,core_to_ext_after_%,core_to_mom_before_%,core_to_mom_after_%
US,normal,0.2784,0.2624,0.2761,0.2784,0.2624,0.2761,expanding,ElasticNet,XGBoost,ElasticNet,expanding,expanding,expanding,ElasticNet,XGBoost,ElasticNet,5.7517,5.7517,0.837,0.837
US,911,0.2301,0.2289,0.223,0.2301,0.2289,0.223,expanding,XGBoost,XGBoost,XGBoost,expanding,expanding,expanding,XGBoost,XGBoost,XGBoost,0.536,0.536,3.1032,3.1032
US,gfc,0.2393,0.2365,0.2352,0.2393,0.2365,0.2352,expanding,Ridge,Ridge,Ridge,expanding,expanding,expanding,Ridge,Ridge,Ridge,1.1778,1.1778,1.7015,1.7015
US,covid,0.3405,0.2992,0.3205,0.3405,0.3043,0.3205,expanding,LightGBM,LightGBM,LightGBM,expanding,static,expanding,LightGBM,LightGBM,LightGBM,12.1065,10.6297,5.8692,5.8692
KR,normal,0.19,0.1862,0.1854,0.19,0.1862,0.1854,expanding,LightGBM,XGBoost,LightGBM,expanding,expanding,expanding,LightGBM,XGBoost,LightGBM,1.9833,1.9833,2.3931,2.3931
KR,911,0.2549,0.2553,0.2327,0.2549,0.2553,0.2327,static,XGBoost,LightGBM,LightGBM,static,static,static,XGBoost,LightGBM,LightGBM,-0.153,-0.153,8.7142,8.7142
KR,gfc,0.2112,0.2072,0.2159,0.2112,0.2109,0.2159,expanding,Huber,Ridge,Huber,expanding,static,expanding,Huber,Ridge,Huber,1.8768,0.1096,-2.2196,-2.2196
KR,covid,0.2505,0.25,0.2508,0.2505,0.25,0.2508,static,Huber,Huber,Huber,static,static,static,Huber,Huber,Huber,0.1939,0.1939,-0.1058,-0.1058
JP,normal,0.244,0.2372,0.2352,0.244,0.2372,0.2352,expanding,Ridge,XGBoost,XGBoost,expanding,expanding,expanding,Ridge,XGBoost,XGBoost,2.7927,2.7927,3.6165,3.6165
JP,911,0.1556,0.1583,0.1565,0.1556,0.1583,0.1565,expanding,Ridge,ElasticNet,Ridge,expanding,expanding,expanding,Ridge,ElasticNet,Ridge,-1.7139,-1.7139,-0.5423,-0.5423
JP,gfc,0.2053,0.2046,0.2029,0.2053,0.2046,0.2029,static,Ridge,ElasticNet,Ridge,static,static,static,Ridge,ElasticNet,Ridge,0.3069,0.3069,1.1288,1.1288
JP,covid,0.2807,0.2834,0.2726,0.2807,0.2834,0.2726,expanding,XGBoost,XGBoost,XGBoost,expanding,expanding,expanding,XGBoost,XGBoost,XGBoost,-0.9724,-0.9724,2.8633,2.8633
