country,regime,model_group,model,feature_set,protocol,RMSE_CV
JP,911,Financial,HAR_RV,financial,expanding,0.2141254521959883
JP,911,ML,Ridge,core,expanding,0.1556117140951871
JP,covid,Financial,HAR_RV,financial,expanding,0.4965106456253793
JP,covid,ML,XGBoost,momentum,expanding,0.2726201281408961
JP,gfc,Financial,HAR_RV,financial,expanding,0.3119555226755025
JP,gfc,ML,Ridge,momentum,static,0.2029469254566169
JP,normal,Financial,HAR_RV,financial,expanding,0.4592828219416889
JP,normal,ML,XGBoost,momentum,expanding,0.2351574439234755
KR,911,Financial,HAR_RV,financial,static,0.3302259749213247
KR,911,ML,LightGBM,momentum,static,0.2327255880499858
KR,covid,Financial,HAR_RV,financial,expanding,0.3647526456214922
KR,covid,ML,Huber,extended,static,0.2500379235888051
KR,gfc,Financial,HAR_RV,financial,static,0.3074419843110025
KR,gfc,ML,Ridge,extended,static,0.2072127487352626
KR,normal,Financial,HAR_RV,financial,expanding,0.2875635515197309
KR,normal,ML,LightGBM,momentum,expanding,0.1854476704111707
US,911,Financial,HAR_RV,financial,static,0.3404905498316736
US,911,ML,XGBoost,momentum,expanding,0.2229687939337022
US,covid,Financial,HAR_RV,financial,expanding,0.4733240837836362
US,covid,ML,LightGBM,extended,static,0.2992405385671138
US,gfc,Financial,HAR_RV,financial,static,0.3531208392362906
US,gfc,ML,Ridge,momentum,expanding,0.2352183326145532
US,normal,Financial,HAR_RV,financial,expanding,0.4382245045875595
US,normal,ML,XGBoost,extended,expanding,0.2623922458790325
